last_name,first_name,communityId
Gostisbehere,Shayne,721
Giroux,Claude,721
Konecny,Travis,721
Provorov,Ivan,721
Manning,Brandon,416
Bellemare,Pierre-Edouard,67
Voracek,Jakub,721
Couturier,Sean,721
Raffl,Michael,721
Simmonds,Wayne,681
Hjalmarsson,Niklas,101
Seabrook,Brent,4
Panik,Richard,101
Toews,Jonathan,4
Keith,Duncan,4
Kane,Patrick,4
Hinostroza,Vinnie,101
Schmaltz,Nick,67
Anisimov,Artem,681
Panarin,Artemi,681
Motte,Tyler,416
Kempny,Michal,67
Fowler,Cam,4
Getzlaf,Ryan,4
Montour,Brandon,681
Lindholm,Hampus,4
Cogliano,Andrew,67
Perry,Corey,67
Grant,Derek,4
Ritchie,Nick,4
Manson,Josh,101
Henrique,Adam,4
Rakell,Rickard,4
Wagner,Chris,721
Silfverberg,Jakob,4
Holzer,Korbinian,4
Kase,Ondrej,4
Scandella,Marco,681
McCabe,Jake,681
Okposo,Kyle,681
Reinhart,Sam,681
Girgensons,Zemgus,681
Ristolainen,Rasmus,681
Eichel,Jack,681
Kane,Evander,4
O'Reilly,Ryan,416
Rodrigues,Evan,582
Beaulieu,Nathan,67
Johnson,Erik,67
Holden,Nick,4
Comeau,Blake,67
Duchene,Matt,4
Landeskog,Gabriel,67
Barrie,Tyson,721
Soderberg,Carl,101
MacKinnon,Nathan,67
Perreault,Mathieu,4
Wheeler,Blake,681
Copp,Andrew,681
Little,Bryan,4
Myers,Tyler,416
Trouba,Jacob,681
Ehlers,Nikolaj,681
Scheifele,Mark,4
Lowry,Adam,681
Armia,Joel,721
Chiarot,Ben,721
Nordstrom,Joakim,681
Staal,Jordan,582
Hainsey,Ron,681
Slavin,Jaccob,582
Staal,Eric,4
Rask,Victor,4
Pesce,Brett,582
Skinner,Jeff,681
Nash,Riley,101
Hanifin,Noah,67
Lindholm,Elias,67
Giordano,Mark,67
Stone,Michael,67
Ferland,Micheal,416
Hathaway,Garnet,67
Bennett,Sam,67
Lazar,Curtis,582
Hamonic,Travis,67
Brodie,TJ,67
Jankowski,Mark,67
Backlund,Mikael,67
Gaudreau,Johnny,67
Tkachuk,Matthew,67
Monahan,Sean,67
Hamilton,Dougie,582
Shaw,Logan,416
Niskanen,Matt,721
Johansson,Marcus,681
Ovechkin,Alex,67
Kuznetsov,Evgeny,67
Burakovsky,Andre,67
Orlov,Dmitry,67
Backstrom,Nicklas,67
Carlson,John,67
Schmidt,Nate,4
Eller,Lars,67
Wilson,Tom,67
Connolly,Brett,681
Beagle,Jay,4
Petry,Jeff,721
Barberio,Mark,101
Byron,Paul,721
Danault,Phillip,721
Radulov,Alexander,67
Weber,Shea,721
Lehkonen,Artturi,721
Pacioretty,Max,4
van Riemsdyk,James,721
Marincin,Martin,721
Rielly,Morgan,721
Grabner,Michael,101
Polak,Roman,416
Komarov,Leo,582
Bozak,Tyler,416
Gardiner,Jake,582
Kadri,Nazem,67
Carter,Jeff,4
Brown,Dustin,4
Kopitar,Anze,4
Toffoli,Tyler,4
Schenn,Luke,681
McNabb,Brayden,4
Pearson,Tanner,4
Muzzin,Jake,721
Doughty,Drew,4
Lewis,Trevor,4
Lucic,Milan,4
Martinez,Alec,4
Virtanen,Jake,416
Hutton,Ben,4
Biega,Alex,4
Edler,Alexander,416
Del Zotto,Michael,4
Boeser,Brock,416
Baertschi,Sven,4
Horvat,Bo,4
Gagner,Sam,416
Gudbranson,Erik,4
Granlund,Markus,4
Sutter,Brandon,416
Vatanen,Sami,681
Milano,Sonny,101
Nutivaara,Markus,582
Foligno,Nick,67
Harrington,Scott,101
Johnson,Jack,681
Bjorkstrand,Oliver,101
Anderson,Josh,101
Jenner,Boone,101
Savard,David,582
Calvert,Matt,67
Jones,Seth,101
Dubois,Pierre-Luc,101
Werenski,Zach,101
Zadorov,Nikita,67
Wilson,Colin,67
Nemeth,Patrik,416
Nieto,Matt,67
Bourque,Gabriel,681
Kerfoot,Alexander,721
Girard,Samuel,67
Rantanen,Mikko,67
Jost,Tyson,67
Letestu,Mark,681
Schultz,Justin,681
Khaira,Jujhar,416
Draisaitl,Leon,416
Nurse,Darnell,416
Nugent-Hopkins,Ryan,416
Eberle,Jordan,582
Klefbom,Oscar,416
Hall,Taylor,681
Sekera,Andrej,67
Letang,Kris,681
Dumoulin,Brian,681
Crosby,Sidney,681
Hornqvist,Patric,681
Kessel,Phil,101
Bonino,Nick,4
Malkin,Evgeni,681
Perron,David,101
Cole,Ian,67
Laine,Patrik,4
Morrissey,Josh,4
Kulikov,Dmitry,4
Connor,Kyle,4
Tanev,Brandon,681
Klingberg,John,67
Shore,Devin,4
Lindell,Esa,67
Benn,Jamie,67
Janmark,Mattias,67
Smith,Gemel,681
Seguin,Tyler,67
Oleksiak,Jamie,67
Dickinson,Jason,67
Hamhuis,Dan,4
Spezza,Jason,721
Pelech,Adam,681
Boychuk,Johnny,681
Quine,Alan,67
Strome,Ryan,681
Lee,Anders,681
Nelson,Brock,681
de Haan,Calvin,4
Tavares,John,721
Bailey,Josh,681
Beauvillier,Anthony,681
Cizikas,Casey,681
Leddy,Nick,681
Shore,Nick,721
Gravel,Kevin,721
Dowd,Nic,67
Clifford,Kyle,4
Pulock,Ryan,681
Mayfield,Scott,681
Clutterbuck,Cal,681
Johnston,Ross,681
Barzal,Mathew,681
Stepan,Derek,67
Perlini,Brendan,4
Domi,Max,721
Richardson,Brad,4
Dvorak,Christian,67
Martinook,Jordan,582
Demers,Jason,67
Rieder,Tobias,4
Goligoski,Alex,101
Chychrun,Jakob,101
Fischer,Christian,101
Keller,Clayton,101
Ekman-Larsson,Oliver,67
Cousins,Nick,721
Petan,Nic,721
Duclair,Anthony,721
DeAngelo,Tony,681
Crouse,Lawson,101
Murphy,Connor,101
Gudas,Radko,67
Schenn,Brayden,67
Hartman,Ryan,4
Severson,Damon,681
Zajac,Travis,681
Greene,Andy,681
Zacha,Pavel,681
Palmieri,Kyle,681
Sheary,Conor,681
Sundqvist,Oskar,67
Guentzel,Jake,681
Archibald,Josh,4
Kuhnhackl,Tom,101
Rowney,Carter,4
Engelland,Deryk,4
Frolik,Michael,4
Chiasson,Alex,416
Cirelli,Anthony,681
Stralman,Anton,681
Gourde,Yanni,681
Miller,J.T.,416
Paquette,Cedric,681
Coburn,Braydon,721
Killorn,Alex,681
Johnson,Tyler,681
Erne,Adam,4
Hedman,Victor,681
Stamkos,Steven,681
Sergachev,Mikhail,681
Point,Brayden,681
Ritchie,Brett,101
Faksa,Radek,67
Pitlick,Tyler,721
Russell,Kris,681
Larsson,Adam,416
Benning,Matt,4
McDavid,Connor,416
Caggiula,Drake,4
Bear,Ethan,101
McGinn,Brock,582
Fleury,Haydn,582
Aho,Sebastian,582
Faulk,Justin,101
Zykov,Valentin,4
van Riemsdyk,Trevor,582
Teravainen,Teuvo,582
Ryan,Derek,67
Daley,Trevor,416
Rust,Bryan,681
Maatta,Olli,4
Merrill,Jon,4
Blandisi,Joseph,67
Spurgeon,Jared,4
Suter,Ryan,4
Granlund,Mikael,4
Zucker,Jason,4
Ennis,Tyler,681
Dumba,Matt,4
Kunin,Luke,4
Reilly,Mike,721
Stewart,Chris,67
Foligno,Marcus,4
Brodin,Jonas,4
Eriksson Ek,Joel,4
Koivu,Mikko,4
Atkinson,Cam,101
Prout,Dalton,4
Wennberg,Alexander,582
Karlsson,William,4
Saad,Brandon,4
Murray,Ryan,582
Martin,Matt,101
Nylander,William,721
Carrick,Connor,681
Hyman,Zach,721
Matthews,Auston,721
Zaitsev,Nikita,721
Brown,Connor,721
Marner,Mitchell,721
Marleau,Patrick,4
Boyle,Brian,416
Leivo,Josh,416
Thornton,Joe,4
Burns,Brent,4
Vlasic,Marc-Edouard,4
Tierney,Chris,721
Pavelski,Joe,67
Sorensen,Marcus,4
Braun,Justin,721
Karlsson,Melker,4
Haley,Micheal,416
Couture,Logan,4
Dillon,Brenden,4
Labanc,Kevin,4
Hertl,Tomas,4
Boedker,Mikkel,681
Eriksson,Loui,4
Bergeron,Patrice,721
Marchand,Brad,721
Krejci,David,721
Acciari,Noel,681
Pastrnak,David,721
Krug,Torey,721
Chara,Zdeno,721
Pirri,Brandon,721
Filppula,Valtteri,416
Kucherov,Nikita,681
Drouin,Jonathan,721
Palat,Ondrej,681
Namestnikov,Vladislav,681
Neal,James,416
Ekholm,Mattias,4
Bitetto,Anthony,4
Jarnkrok,Calle,4
Smith,Craig,4
Forsberg,Filip,4
Josi,Roman,4
Arvidsson,Viktor,4
Bratt,Jesper,681
Wood,Miles,681
Gibbons,Brian,681
Butcher,Will,681
Coleman,Blake,681
Hischier,Nico,681
Benn,Jordie,416
Gallagher,Brendan,721
Hudon,Charles,371
Carr,Daniel,4
Galchenyuk,Alex,681
Deslauriers,Nicolas,4
Shaw,Andrew,4
Ceci,Cody,721
Brassard,Derick,681
Pageau,Jean-Gabriel,721
Stone,Mark,4
Hoffman,Mike,681
Borowiecki,Mark,721
Ryan,Bobby,721
Dzingel,Ryan,582
Turris,Kyle,4
Hunt,Brad,4
Kassian,Zack,416
de la Rose,Jacob,416
Mete,Victor,721
Stephenson,Chandler,67
Oshie,T.J.,67
Vrana,Jakub,67
Bowey,Madison,416
Donskoi,Joonas,67
DeMelo,Dylan,721
Kulak,Brett,101
Andreoff,Andy,721
Hanley,Joel,67
Pettersson,Marcus,681
Grimaldi,Rocco,4
Ekblad,Aaron,681
Bjugstad,Nick,681
Trocheck,Vincent,681
Huberdeau,Jonathan,681
Smith,Reilly,4
Goloubef,Cody,681
Compher,J.T.,67
Kamenev,Vladislav,67
Tanev,Christopher,4
Stecher,Troy,416
Dermott,Travis,721
Kapanen,Kasperi,721
Niederreiter,Nino,582
Hagelin,Carl,67
Tennyson,Matt,681
Ness,Aaron,67
Sanford,Zach,416
Irwin,Matt,4
Fiala,Kevin,4
Watson,Austin,4
Johansen,Ryan,4
Weber,Yannick,4
Subban,P.K.,681
Ellis,Ryan,4
Grzelcyk,Matt,721
Kuraly,Sean,721
Backes,David,721
Schaller,Tim,416
Carlo,Brandon,721
Heinen,Danton,721
Yandle,Keith,681
Dadonov,Evgenii,681
Matheson,Mike,681
McCann,Jared,681
Sceviour,Colton,681
Malgin,Denis,681
Pysyk,Mark,681
Weegar,MacKenzie,681
Vatrano,Frank,681
Barkov,Aleksander,681
Gauthier,Frederik,721
Karlsson,Erik,4
Weal,Jordan,67
Coyle,Charlie,721
Haula,Erik,582
Folin,Christian,416
Laughton,Scott,4
Kempe,Adrian,4
MacDermid,Kurtis,4
Mangiapane,Andrew,67
Staal,Marc,416
Fast,Jesper,681
McIlrath,Dylan,4
McDonagh,Ryan,681
Hayes,Kevin,721
Megna,Jayson,67
Kreider,Chris,681
Zuccarello,Mats,4
Nielsen,Frans,416
Graovac,Tyler,67
Czarnik,Austin,67
Ericsson,Jonathan,4
Abdelkader,Justin,721
Nyquist,Gustav,101
Larkin,Dylan,416
Jensen,Nick,67
Glendening,Luke,416
Sheahan,Riley,681
Athanasiou,Andreas,416
DeKeyser,Danny,416
Mantha,Anthony,416
Green,Mike,416
Tatar,Tomas,721
Heed,Tim,416
Carpenter,Ryan,4
Meier,Timo,4
Ryan,Joakim,4
McAvoy,Charlie,721
DeBrusk,Jake,721
Bjork,Anders,721
Mueller,Mirco,416
Larsson,Johan,681
Andersson,Lias,681
Skjei,Brady,681
Gilmour,John,67
Buchnevich,Pavel,681
Pionk,Neal,4
Vesey,Jimmy,681
Zibanejad,Mika,681
Chytil,Filip,681
Sissons,Colton,4
Sbisa,Luca,4
Marchessault,Jonathan,4
Parise,Zach,4
Maroon,Patrick,681
Oesterle,Jordan,67
Stastny,Paul,4
Reaves,Ryan,4
Schwartz,Jaden,101
Gunnarsson,Carl,101
Pietrangelo,Alex,416
Tarasenko,Vladimir,67
Shattenkirk,Kevin,681
Fabbri,Robby,721
Bortuzzo,Robert,721
Bouwmeester,Jay,416
Parayko,Colton,101
Eakin,Cody,4
Nichushkin,Valeri,67
Salomaki,Miikka,4
Paul,Nick,721
Thompson,Nate,721
Dumont,Gabriel,4
Chabot,Thomas,721
Sanheim,Travis,721
Lindblom,Oskar,721
Connauton,Kevin,416
Dunn,Vince,101
Barbashev,Ivan,67
Steen,Alexander,416
Sobotka,Vladimir,681
Edmundson,Joel,582
Rutta,Jan,681
Gustafsson,Erik,4
DeBrincat,Alex,4
Kampf,David,4
Smith,Zack,4
Dahlstrom,Carl,681
Jurco,Tomas,416
Simon,Dominik,681
Aston-Reese,Zach,681
Dal Colle,Michael,681
McKegg,Greg,681
Carey,Paul,533
Smith,Brendan,681
Nosek,Tomas,4
Miller,Colin,681
Tuch,Alex,4
Theodore,Shea,4
Roslovic,Jack,4
Donato,Ryan,4
Chlapik,Filip,721
Helm,Darren,416
Bertuzzi,Tyler,416
White,Colin,721
Kampfer,Steven,721
Leipsic,Brendan,67
Gurianov,Denis,67
Goodrow,Barclay,4
Koekkoek,Slater,4
Witkowski,Luke,681
Poolman,Tucker,681
Kukan,Dean,101
Strome,Dylan,4
Brodzinski,Jonny,4
Iafallo,Alex,4
Andersson,Rasmus,67
Hagg,Robert,416
Terry,Troy,4
Carrier,William,4
Fedun,Taylor,67
Amadio,Michael,4
Tynan,TJ,4
Toninato,Dominic,681
Hunt,Dryden,681
Foegele,Warren,582
Blais,Sammy,101
Szwarz,Jordan,4
Hayden,John,721
Svechnikov,Evgeny,721
Wallmark,Lucas,582
Larsson,Jacob,4
Robinson,Eric,101
Dowling,Justin,67
Johnsson,Andreas,721
Cave,Colby,101
Rooney,Kevin,721
Seeler,Nick,101
Cehlarik,Peter,681
Capobianco,Kyle,101
Greenway,Jordan,4
Gambrell,Dylan,4
Borgstrom,Henrik,582
Gaudette,Adam,4
Brown,Logan,721
Nylander,Alexander,4
Agozzino,Andrew,4
Guhle,Brendan,4
Boyd,Travis,67
Hicketts,Joe,582
Carrick,Trevor,4
Necas,Martin,582
Soucy,Carson,4
Lemieux,Brendan,681
Roy,Nicolas,4
Sautner,Ashton,4
Mittelstadt,Casey,681
Niku,Sami,681
Morin,Samuel,681
Holl,Justin,721
Kylington,Oliver,67
Kovalchuk,Ilya,4
Brannstrom,Erik,582
Tkachuk,Brady,721
Sabourin,Scott,721
Batherson,Drake,681
Timashov,Dmytro,721
Mikheyev,Ilya,721
Moore,Trevor,721
Sandin,Rasmus,721
Siegenthaler,Jonas,67
Fehervary,Martin,582
Thomas,Robert,101
Hughes,Quinn,416
Pettersson,Elias,416
Haas,Gaetan,416
Nygard,Joakim,416
Yurtaykin,Danil,4
Ferraro,Mario,4
Radil,Lukas,4
Bergmann,Lean,4
Glass,Cody,4
Brown,Josh,681
Verhaeghe,Carter,721
Cernak,Erik,681
Joseph,Mathieu,681
Appleton,Mason,681
Heinola,Ville,681
Hajek,Libor,681
Fox,Adam,681
Howden,Brett,681
Kakko,Kaapo,681
Olofsson,Victor,681
Dahlin,Rasmus,681
Jokiharju,Henri,681
Blueger,Teddy,681
Kahun,Dominik,681
Kotkaniemi,Jesperi,416
Suzuki,Nick,721
Fleury,Cale,101
Svechnikov,Andrei,582
Fabbro,Dante,4
Lindholm,Par,721
Kuhlman,Karson,4
Clifton,Connor,721
Hintz,Roope,67
Heiskanen,Miro,67
Graves,Ryan,67
Timmins,Conor,4
Makar,Cale,67
Garland,Conor,101
Jones,Max,4
Steel,Sam,4
Gilbert,Dennis,4
Kubalik,Dominik,4
Twarynski,Carsen,721
Bunnaman,Connor,416
Hughes,Jack,681
Gusev,Nikita,681
Toews,Devon,681
Texier,Alexandre,101
Bemstrom,Emil,101
Lilja,Jakob,101
Hague,Nicolas,4
Middleton,Jacob,4
Boqvist,Jesper,681
Hawryluk,Jayce,582
Gavrikov,Vladislav,67
Gardner,Rhett,67
Caamano,Nick,67
Hronek,Filip,416
Ehn,Christoffer,4
Cholowski,Dennis,721
Hirose,Taro,416
Lundestrom,Isac,681
Lizotte,Blake,4
Roy,Matt,4
Wagner,Austin,4
Bjornfot,Tobias,416
Walker,Sean,4
Russell,Patrick,416
Persson,Joel,681
Dobson,Noah,582
Marino,John,681
Lafferty,Sam,681
L'Esperance,Joel,67
Lewington,Tyler,67
Grundstrom,Carl,4
Johnson,Adam,67
Abramov,Vitaly,721
Hayton,Barrett,67
Comtois,Max,4
Gauthier,Julien,582
MacEachern,Mackenzie,67
Wahlstrom,Oliver,681
Mayhew,Gerald,721
Gustafsson,David,4
Riikola,Juuso,681
Lyubushkin,Ilya,721
Bischoff,Jake,67
Bardreau,Cole,681
Trenin,Yakov,681
Gregor,Noah,4
Dach,Kirby,4
Vorobyev,Mikhail,681
Farabee,Joel,721
Beaudin,J.C.,582
Stillman,Riley,67
Smith,Givani,416
Richard,Anthony,709
Prokhorkin,Nikolai,4
Lindgren,Ryan,681
Mahura,Josh,4
Volkov,Alexander,681
Rubtsov,German,582
Myers,Philippe,721
Suess,CJ,4
Sherwood,Kole,67
Boqvist,Adam,4
Hughes,Cameron,681
Senyshyn,Zach,721
Poehling,Ryan,721
Simek,Radim,4
Luostarinen,Eetu,721
Davidsson,Jonathan,582
Luoto,Joona,67
Vaakanainen,Urho,721
Luff,Matt,4
Jones,Caleb,67
Frederic,Trent,721
Asplund,Rasmus,730
Koivula,Otto,731
Kostin,Klim,732